Date,Time [s],T_amb_DB [°C],T_amb_WB [°C],RH [%],Power [W],Tank Temp #1 [°C],Tank Temp #2 [°C],Tank Temp #3 [°C],Tank Temp #4 [°C],Tank Temp #5 [°C],Tank Temp #6 [°C],T_water_in [°C],T_water_out [°C],Flow Rate [GPM]
12:13:20,800,9.7,5.4,56.4,268.4,49.9,50.2,48.9,21.2,18.0,17.3,9.8,45.5,0.0
12:13:30,810,9.7,5.4,56.3,268.2,50.0,50.2,48.9,21.3,18.0,17.3,9.8,45.3,0.0
12:13:40,820,9.6,5.4,56.7,268.5,49.7,50.2,48.9,21.3,18.0,17.3,9.8,45.1,0.0
12:13:50,830,9.6,5.4,56.4,268.4,49.6,50.2,49.0,21.3,18.0,17.3,9.8,44.9,0.0
12:14:00,840,9.6,5.4,56.6,269.3,49.7,50.2,48.9,21.5,18.1,17.3,9.8,44.8,0.0
12:14:10,850,9.6,5.4,56.7,269.1,49.7,50.2,48.8,21.7,18.1,17.3,9.8,44.6,0.0
12:14:20,860,9.6,5.4,56.6,270.0,49.8,50.2,48.8,21.7,18.1,17.3,9.8,44.4,0.0
12:14:30,870,9.6,5.3,56.6,269.8,50.1,50.2,48.7,21.7,18.1,17.3,9.8,44.2,0.0
12:14:40,880,9.6,5.3,56.6,270.1,50.0,50.2,48.8,21.7,18.1,17.3,9.8,44.0,0.0
12:14:50,890,9.5,5.3,56.6,270.1,49.9,50.2,48.8,21.7,18.1,17.3,9.8,43.8,0.0
12:15:00,900,9.5,5.3,57.1,270.5,50.0,50.2,48.9,21.7,18.1,17.4,9.8,43.6,0.0
12:15:10,910,9.5,5.3,56.9,270.4,49.9,50.2,48.8,21.9,18.1,17.4,9.8,43.4,0.0
12:15:20,920,9.5,5.3,56.7,270.3,50.1,50.2,48.8,22.0,18.2,17.4,9.8,43.2,0.0
12:15:30,930,9.5,5.3,57.0,270.2,50.0,50.2,48.8,22.1,18.2,17.4,9.8,43.0,0.0
12:15:40,940,9.4,5.2,56.9,270.2,49.8,50.2,48.8,22.2,18.2,17.4,9.8,42.9,0.0
12:15:50,950,9.4,5.3,57.0,270.5,50.0,50.2,48.9,22.3,18.2,17.4,9.8,42.7,0.0
12:16:00,960,9.4,5.3,57.2,270.9,50.1,50.2,48.8,22.2,18.2,17.4,9.8,42.5,0.0
12:16:10,970,9.5,5.3,57.3,270.8,49.9,50.2,48.8,22.3,18.3,17.4,9.8,42.3,0.0
12:16:20,980,9.4,5.3,57.1,270.9,49.7,50.2,48.7,22.4,18.3,17.4,9.8,42.1,0.0
12:16:30,990,9.4,5.2,57.3,272.5,49.8,50.2,48.7,22.4,18.4,17.4,9.8,41.9,0.0
12:16:40,1000,9.4,5.2,57.5,272.7,49.9,50.2,48.7,22.4,18.4,17.4,9.8,41.8,0.0
12:16:50,1010,9.4,5.2,57.4,272.3,49.8,50.2,48.8,22.5,18.4,17.4,9.8,41.6,0.0
12:17:00,1020,9.5,5.3,57.3,272.7,49.9,50.2,48.8,22.6,18.4,17.4,9.8,41.4,0.0
12:17:10,1030,9.5,5.3,57.3,272.6,50.0,50.2,48.8,22.7,18.4,17.4,9.8,41.3,0.0
12:17:20,1040,9.5,5.4,57.3,273.2,50.0,50.2,48.7,22.8,18.4,17.4,9.8,41.1,0.0
12:17:30,1050,9.5,5.4,57.5,272.9,50.2,50.2,48.7,22.8,18.5,17.4,9.8,40.9,0.0
12:17:40,1060,9.5,5.4,57.6,273.0,50.0,50.2,48.7,22.8,18.5,17.4,9.8,40.7,0.0
12:17:50,1070,9.6,5.4,57.7,273.5,50.0,50.2,48.7,22.9,18.5,17.4,9.8,40.6,0.0
12:18:00,1080,9.6,5.5,57.7,273.8,50.0,50.2,48.7,22.9,18.5,17.4,9.8,40.4,0.0
12:18:10,1090,9.7,5.5,57.9,273.4,50.0,50.2,48.7,23.0,18.5,17.5,9.8,40.2,0.0
12:18:20,1100,9.7,5.5,57.7,274.3,50.1,50.2,48.7,23.0,18.6,17.5,9.8,40.0,0.0
12:18:30,1110,9.8,5.6,57.8,273.0,49.5,50.2,48.6,23.1,18.6,17.4,9.8,39.9,0.0
12:18:40,1120,9.8,5.6,57.8,273.3,49.9,50.2,48.7,23.2,18.6,17.5,9.8,39.7,0.0
12:18:50,1130,9.8,5.7,57.9,273.3,50.2,50.2,48.7,23.2,18.6,17.5,9.8,39.5,0.0
12:19:00,1140,9.8,5.7,57.9,274.0,49.6,50.2,48.7,23.3,18.7,17.5,9.8,39.4,0.0
12:19:10,1150,9.8,5.6,57.7,273.9,49.8,50.2,48.7,23.3,18.7,17.5,9.8,39.2,0.0
12:19:20,1160,9.7,5.6,57.7,274.5,49.9,50.2,48.7,23.3,18.7,17.5,9.8,39.0,0.0
12:19:30,1170,9.8,5.6,57.7,273.9,49.8,50.2,48.6,23.4,18.7,17.5,9.8,38.9,0.0
12:19:40,1180,9.8,5.6,57.8,274.6,50.1,50.2,48.6,23.4,18.7,17.5,9.9,38.7,0.0
12:19:50,1190,9.8,5.6,57.6,276.4,50.0,50.2,48.6,23.5,18.7,17.5,9.8,38.5,0.0
12:20:00,1200,9.7,5.6,57.6,274.9,49.9,50.2,48.6,23.6,18.8,17.5,9.8,38.4,0.0
12:20:10,1210,9.7,5.5,57.6,274.7,50.0,50.2,48.6,23.6,18.8,17.5,9.8,38.2,0.0
12:20:20,1220,9.7,5.5,57.5,274.9,50.0,50.2,48.6,23.6,18.8,17.5,9.8,38.0,0.0
12:20:30,1230,9.7,5.5,57.6,276.6,50.0,50.2,48.6,23.7,18.8,17.5,9.8,37.9,0.0
12:20:40,1240,9.7,5.5,57.8,275.0,49.9,50.2,48.6,23.7,18.8,17.5,9.9,37.7,0.0
12:20:50,1250,9.7,5.5,57.4,279.0,49.7,50.2,48.6,23.8,18.9,17.6,9.9,37.6,0.0
12:21:00,1260,9.6,5.5,57.8,275.3,49.7,50.2,48.6,23.8,18.9,17.5,9.8,37.4,0.0
12:21:10,1270,9.6,5.5,57.5,275.4,49.8,50.2,48.5,23.9,18.9,17.6,9.9,37.2,0.0
12:21:20,1280,9.6,5.5,57.8,275.4,49.9,50.2,48.6,23.9,18.9,17.6,9.8,37.1,0.0
12:21:30,1290,9.6,5.4,57.8,275.3,49.9,50.2,48.5,23.9,19.0,17.6,9.9,36.9,0.0
12:21:40,1300,9.6,5.5,57.7,275.5,49.9,50.2,48.6,24.0,19.0,17.6,9.9,36.8,0.0
12:21:50,1310,9.6,5.5,57.7,275.6,49.9,50.2,48.6,24.0,19.0,17.6,9.9,36.7,0.0
12:22:00,1320,9.5,5.4,57.5,275.7,49.8,50.2,48.5,24.0,19.0,17.6,9.9,36.5,0.0
12:22:10,1330,9.5,5.4,57.8,276.0,50.0,50.2,48.5,24.1,19.1,17.6,9.9,36.4,0.0
12:22:20,1340,9.5,5.4,57.7,276.3,49.9,50.2,48.5,24.2,19.1,17.6,9.9,36.2,0.0
12:22:30,1350,9.5,5.4,58.0,276.6,49.9,50.2,48.5,24.2,19.1,17.6,9.9,36.1,0.0
12:22:40,1360,9.5,5.4,57.8,276.4,49.6,50.2,48.5,24.3,19.1,17.6,9.9,35.9,0.0
12:22:50,1370,9.5,5.4,58.1,276.5,49.6,50.2,48.6,24.3,19.2,17.6,9.9,35.7,0.0
12:23:00,1380,9.5,5.4,57.9,277.0,49.8,50.2,48.5,24.3,19.2,17.6,9.9,35.6,0.0
12:23:10,1390,9.5,5.4,58.0,276.8,49.8,50.2,48.5,24.4,19.2,17.6,9.9,35.5,0.0
12:23:20,1400,9.5,5.4,57.9,277.1,49.8,50.2,48.5,24.4,19.2,17.6,9.9,35.3,0.0
12:23:30,1410,9.6,5.4,57.9,276.8,49.7,50.2,48.5,24.5,19.3,17.6,9.9,35.2,0.0
12:23:40,1420,9.7,5.6,58.1,277.1,49.7,50.2,48.5,24.6,19.3,17.6,9.9,35.0,0.0
12:23:50,1430,9.7,5.6,58.0,277.2,49.5,50.2,48.5,24.6,19.3,17.7,9.9,34.9,0.0
12:24:00,1440,9.7,5.6,58.0,277.3,49.7,50.2,48.5,24.6,19.3,17.7,9.9,34.7,0.0
12:24:10,1450,9.8,5.7,58.0,277.0,49.6,50.2,48.4,24.6,19.4,17.7,9.9,34.6,0.0
12:24:20,1460,9.9,5.7,58.1,277.7,49.3,50.2,48.4,24.7,19.4,17.7,9.9,34.4,0.0
12:24:30,1470,9.9,5.8,58.2,277.8,49.5,50.2,48.5,24.8,19.4,17.7,9.9,34.3,0.0
12:24:40,1480,10.0,5.8,58.1,277.8,49.9,50.2,48.5,24.8,19.4,17.7,9.9,34.2,0.0
12:24:50,1490,10.0,5.8,58.1,278.1,50.0,50.2,48.4,24.8,19.4,17.7,9.9,34.0,0.0
12:25:00,1500,10.0,5.8,58.2,278.0,49.6,50.2,48.4,24.8,19.5,17.7,9.9,33.9,0.0
12:25:10,1510,10.0,5.8,58.2,278.0,49.9,50.2,48.4,24.9,19.5,17.7,9.9,33.8,0.0
12:25:20,1520,10.0,5.8,58.1,278.2,49.7,50.2,48.4,25.0,19.6,17.7,9.9,33.6,0.0
12:25:30,1530,9.9,5.8,58.0,278.5,49.8,50.2,48.4,25.0,19.6,17.7,9.9,33.5,0.0
12:25:40,1540,9.9,5.7,58.0,278.5,49.9,50.2,48.4,25.0,19.6,17.7,9.9,33.4,0.0
12:25:50,1550,9.9,5.7,58.1,279.0,49.8,50.2,48.4,25.1,19.6,17.7,9.9,33.2,0.0
12:26:00,1560,9.9,5.7,57.9,278.6,49.9,50.2,48.4,25.1,19.6,17.7,9.9,33.1,0.0
12:26:10,1570,9.9,5.7,57.8,278.7,49.6,50.2,48.4,25.2,19.7,17.7,9.9,33.0,0.0
12:26:20,1580,9.9,5.7,57.7,279.2,49.5,50.2,48.4,25.2,19.7,17.7,9.9,32.8,0.0
12:26:30,1590,9.9,5.7,57.8,279.0,49.7,50.2,48.4,25.2,19.7,17.8,9.9,32.7,0.0
12:26:40,1600,9.8,5.7,57.9,284.7,49.8,50.2,48.4,25.3,19.8,17.8,9.9,32.6,0.0
12:26:50,1610,9.8,5.7,58.0,279.4,49.8,50.1,48.3,25.3,19.8,17.8,9.9,32.5,0.0
12:27:00,1620,9.8,5.6,57.8,279.5,49.7,50.2,48.3,25.3,19.8,17.8,9.9,32.3,0.0
12:27:10,1630,9.7,5.6,57.9,279.7,49.8,50.2,48.3,25.4,19.8,17.8,9.9,32.2,0.0
12:27:20,1640,9.7,5.5,57.8,279.9,49.8,50.2,48.3,25.4,19.9,17.8,9.9,32.1,0.0
12:27:30,1650,9.6,5.5,57.9,279.8,49.6,50.2,48.3,25.5,19.9,17.8,9.9,31.9,0.0
12:27:40,1660,9.6,5.5,57.7,279.8,49.8,50.2,48.3,25.5,19.9,17.8,9.9,31.8,0.0
12:27:50,1670,9.7,5.6,58.0,280.2,49.4,50.2,48.3,25.6,19.9,17.8,9.9,31.7,0.0
12:28:00,1680,9.6,5.5,57.7,280.5,49.6,50.2,48.3,25.6,20.0,17.8,10.0,31.5,1.0
12:28:10,1690,9.6,5.5,57.7,280.2,49.6,50.1,48.3,25.6,20.0,17.8,10.0,31.1,1.0
12:28:20,1700,9.6,5.5,57.8,285.8,49.3,50.1,48.3,25.7,20.0,17.8,10.3,30.5,1.0
12:28:30,1710,9.6,5.5,58.2,280.4,49.4,50.1,48.3,25.7,20.0,17.8,10.1,30.1,1.0
12:28:40,1720,9.6,5.5,58.1,280.6,49.8,50.1,48.3,25.8,20.1,17.9,9.7,29.8,1.0
12:28:50,1730,9.5,5.4,58.1,280.5,49.9,50.1,48.3,25.8,20.1,17.9,9.1,29.6,1.0
12:29:00,1740,9.5,5.4,58.2,281.0,49.4,50.1,48.3,25.8,20.1,17.9,9.0,29.4,1.0
12:29:10,1750,9.5,5.4,57.9,280.5,49.6,50.1,48.2,25.9,20.1,17.9,8.9,29.1,1.0
12:29:20,1760,9.4,5.3,58.1,281.1,49.6,50.1,48.2,25.9,20.2,17.9,9.1,28.9,1.0
12:29:30,1770,9.4,5.4,58.2,281.3,49.9,50.1,48.2,25.9,20.2,17.9,9.2,28.7,1.0
12:29:40,1780,9.5,5.4,58.3,281.3,49.8,50.1,48.2,26.0,20.2,17.9,9.4,29.0,1.0
12:29:50,1790,9.4,5.4,58.2,281.4,49.6,50.1,48.1,26.0,20.2,17.9,9.5,28.8,1.0
12:30:00,1800,9.4,5.4,58.4,281.8,49.8,50.1,48.1,26.0,19.7,17.9,9.5,28.7,1.0
12:30:10,1810,9.4,5.3,58.4,281.9,49.5,50.1,48.2,26.1,19.7,17.9,9.7,29.9,1.0
12:30:20,1820,9.4,5.4,58.5,281.5,49.8,50.1,48.2,26.1,20.1,18.2,9.7,48.8,1.0
12:30:30,1830,9.4,5.4,58.4,281.5,49.7,50.1,47.9,26.0,20.5,18.5,9.7,49.8,1.0
12:30:40,1840,9.4,5.3,58.5,281.8,49.9,50.1,47.8,25.9,20.4,18.6,9.5,49.9,1.0
12:30:50,1850,9.4,5.3,58.7,283.2,49.8,50.1,47.6,25.9,20.4,18.4,9.7,50.0,1.0
12:31:00,1860,9.4,5.3,58.5,281.3,49.9,50.1,47.3,25.9,20.3,18.3,9.8,50.1,1.0
12:31:10,1870,9.4,5.4,58.7,281.2,49.5,50.1,47.1,25.8,20.3,18.0,9.8,50.1,1.0
12:31:20,1880,9.4,5.4,58.6,280.5,49.4,50.1,46.7,25.8,20.2,18.0,9.7,50.1,1.0
12:31:30,1890,9.5,5.4,58.5,280.0,49.6,50.1,46.5,25.6,20.2,17.7,9.6,50.1,1.0
12:31:40,1900,9.5,5.5,58.6,279.7,49.2,50.1,46.2,25.5,20.1,17.4,9.6,50.1,1.0
12:31:50,1910,9.6,5.5,58.7,279.9,49.2,50.1,45.9,25.4,20.1,17.3,9.7,50.1,1.0
12:32:00,1920,9.6,5.6,58.4,279.3,49.6,50.1,45.6,25.4,20.2,17.3,9.7,50.1,1.0
12:32:10,1930,9.7,5.6,58.5,278.9,49.5,50.1,45.3,25.4,20.2,17.0,9.7,50.0,0.0
12:32:20,1940,9.7,5.6,58.3,278.9,49.4,50.0,45.2,25.4,20.2,17.0,9.7,49.5,0.0
12:32:30,1950,9.8,5.7,58.7,278.9,49.3,50.0,44.9,25.4,20.3,16.9,9.7,49.5,0.0
12:32:40,1960,9.8,5.7,58.2,279.1,49.0,50.0,44.9,25.5,20.3,16.8,9.7,49.4,0.0
12:32:50,1970,9.8,5.7,58.4,279.0,49.0,50.0,44.8,25.5,20.3,16.7,9.7,49.3,0.0
12:33:00,1980,9.9,5.8,58.4,279.1,49.5,50.0,44.7,25.4,20.3,16.7,9.7,49.2,0.0
12:33:10,1990,9.8,5.7,58.2,278.9,49.8,50.0,44.9,25.4,20.4,16.8,9.7,48.8,0.0
12:33:20,2000,9.8,5.6,58.0,279.6,49.4,50.0,45.1,25.4,20.4,16.8,9.8,48.7,0.0
12:33:30,2010,9.7,5.6,58.2,279.4,49.9,50.0,45.2,25.5,20.4,16.8,9.7,48.4,0.0
12:33:40,2020,9.8,5.6,58.2,280.1,49.7,50.0,45.1,25.6,20.3,16.8,9.7,48.2,0.0
12:33:50,2030,9.7,5.6,58.1,280.1,49.7,50.0,44.8,25.7,20.3,16.8,9.7,48.0,0.0
12:34:00,2040,9.8,5.6,58.0,280.7,49.9,50.0,44.6,25.6,20.4,16.8,9.7,47.7,0.0
12:34:10,2050,9.8,5.6,57.8,280.7,49.5,50.0,44.7,25.6,20.4,16.9,9.7,47.4,0.0
12:34:20,2060,9.7,5.6,58.0,281.1,49.7,50.0,44.8,25.7,20.4,16.9,9.7,47.2,0.0
12:34:30,2070,9.6,5.5,57.9,281.2,49.8,50.0,44.9,25.8,20.4,16.9,9.7,47.0,0.0
12:34:40,2080,9.6,5.5,57.5,281.2,49.7,50.0,45.1,25.8,20.4,16.9,9.8,46.8,0.0
12:34:50,2090,9.6,5.5,57.9,281.4,49.7,50.0,45.0,25.8,20.4,16.8,9.7,46.6,0.0
12:35:00,2100,9.6,5.5,57.6,281.0,49.5,50.0,44.7,25.9,20.5,16.9,9.8,46.4,0.0
12:35:10,2110,9.6,5.4,57.4,281.0,49.7,50.0,44.6,25.9,20.5,16.8,9.7,46.1,0.0
12:35:20,2120,9.6,5.5,57.6,281.4,49.8,50.0,44.7,26.0,20.6,16.8,9.7,45.9,0.0
12:35:30,2130,9.6,5.4,57.5,281.3,49.7,50.0,44.8,25.9,20.7,16.9,9.8,45.7,0.0
12:35:40,2140,9.5,5.4,57.6,281.8,49.5,50.0,44.8,25.9,20.7,16.9,9.8,45.5,0.0
12:35:50,2150,9.6,5.4,57.4,281.8,49.4,50.0,44.9,25.9,20.7,16.9,9.8,45.3,0.0
12:36:00,2160,9.6,5.4,57.9,285.7,49.5,50.0,44.9,26.0,20.7,16.9,9.8,45.1,0.0
12:36:10,2170,9.5,5.4,57.8,281.6,49.5,50.0,44.7,26.0,20.7,16.9,9.7,44.9,0.0
12:36:20,2180,9.6,5.4,57.6,282.0,49.5,50.0,44.7,26.1,20.8,16.9,9.8,44.7,0.0
12:36:30,2190,9.5,5.4,57.6,281.9,49.5,50.0,44.6,26.1,20.7,16.9,9.7,44.5,0.0
12:36:40,2200,9.6,5.4,57.7,282.0,49.7,50.0,44.7,26.2,20.7,16.9,9.8,44.3,0.0
12:36:50,2210,9.6,5.5,57.8,282.0,49.8,50.0,44.8,26.3,20.7,17.0,9.8,44.1,0.0
12:37:00,2220,9.6,5.5,57.9,282.2,49.6,49.9,44.8,26.3,20.7,16.9,9.8,43.9,0.0
12:37:10,2230,9.7,5.5,57.8,282.2,49.6,50.0,44.7,26.3,20.7,16.9,9.8,43.7,0.0
12:37:20,2240,9.7,5.6,57.9,282.7,49.5,50.0,44.7,26.3,20.8,17.0,9.8,43.5,0.0
12:37:30,2250,9.8,5.6,57.7,282.3,49.5,50.0,44.7,26.3,20.8,17.0,9.8,43.3,0.0
12:37:40,2260,9.8,5.7,57.9,282.2,49.4,50.0,44.6,26.4,20.8,16.9,9.8,43.2,0.0
